TraitName,Timepoint,Domain,Group,Trait,BW.Var,Age.Var,coef,p_add,q_add,p_int,q_int,coef_AL,p_AL,q_AL,coef_1D,p_1D,q_1D,coef_2D,p_2D,q_2D,coef_20,p_20,q_20,coef_40,p_40,q_40,N_AL,N_1D,N_2D,N_20,N_40
Y1A_BW_BW,Y1A,BW,BW,BW,NA,Y1A_BW_AgeInDays,-0.13353017238369105,2.484108704327111e-5,2.450079817966466e-4,0.06452252739317806,0.6298461831370841,-0.09272235286048891,0.08592727663704768,0.3861802134730066,-0.22399341052290309,6.995945460182243e-4,0.01913122008534452,-0.23060787427220872,3.31085607697905e-4,0.012691881747028769,-0.1255392829344739,0.10868170155694357,0.4301486498497704,0.03128970029431311,0.7360088971685845,0.9465026843094053,188,188,190,189,182
Y1B_BW_BW,Y1B,BW,BW,BW,NA,Y1B_BW_AgeInDays,-0.0793217934819147,0.011996778107998192,0.04907772862362896,0.017636089720819,0.3522319030352461,-0.018838000975581012,0.7509730163847443,0.9172873130287251,-0.15239388494300957,0.026619394837875364,0.2253141634491593,-0.21896939392457962,7.06677610057252e-4,0.020097911230028246,-0.09017632278960785,0.21894268452799315,0.5662515225446189,0.08837065807388024,0.29290563353550964,0.7046999223434042,188,188,190,189,182
Y1C_BW_BW,Y1C,BW,BW,BW,NA,Y1C_BW_AgeInDays,-0.01483596628384109,0.6618620100143038,0.8145993969406816,4.484346158550447e-4,0.05373741479996285,-0.022288864915953176,0.7037544414621362,0.9067604205261349,-0.07156954251789077,0.2830798763753621,0.6659570408239127,-0.2219803793148092,0.001892728279954984,0.039467393902034076,0.02335188602179149,0.7750848751807399,0.9203329529509282,0.26868848975250126,0.007287921384402797,0.11776618418887248,186,183,185,187,180
Y1D_BW_BW,Y1D,BW,BW,BW,NA,Y1D_BW_AgeInDays,0.019562215196426973,0.5772699017406654,0.7751570012679733,2.1031870749144396e-4,0.03780478767158705,-0.006138584904691376,0.9151707347496736,0.979189940229395,-0.1380498559903944,0.03818081398859148,0.27768856560393396,-0.10807632432528616,0.16600604303080344,0.455120618201953,0.040932473147147874,0.6290170317376513,0.856228507080149,0.35632879899387965,7.181813888539791e-4,0.03211891709563881,182,173,179,183,176
Y2A_BW_BW,Y2A,BW,BW,BW,NA,Y2A_BW_AgeInDays,0.016440477037074897,0.6548276106610578,0.8124754460844383,1.3292851497678361e-4,0.03780478767158705,-0.05569602765801139,0.33951086773673933,0.6837901465371969,-0.11579958135396978,0.09194549345392014,0.411738322789261,-0.13161880111905844,0.12108143223398433,0.38092432884231353,0.09030963269354653,0.3054491477203952,0.6470461235733816,0.392591565933609,6.769877449692249e-4,0.03211891709563881,175,167,175,176,169
Y2B_BW_BW,Y2B,BW,BW,BW,NA,Y2B_BW_AgeInDays,0.038339336613745605,0.2770381653518923,0.4794891323398136,0.003333772065347154,0.14981138218653772,-0.038123239541709396,0.51410408136026,0.8123922595829215,-0.13156834344449359,0.048794986305503905,0.3016803066366372,0.0157289152003218,0.834098258935946,0.9534467236389994,0.1042862868523263,0.2020504224996585,0.5503459557340267,0.32293953831660793,0.00489372662382391,0.0976953498703502,161,160,166,165,164
Y2C_BW_BW,Y2C,BW,BW,BW,NA,Y2C_BW_AgeInDays,0.081017924406705355,0.015082834208988904,0.05952550902636429,0.013038026488499863,0.323253139490738,0.012072630315128619,0.8147984700539582,0.9498513470350732,-0.048782362165269266,0.4488326301129131,0.822092758784652,0.06837445577868297,0.3609490889655136,0.682786931144998,0.10043888898079992,0.16212044120734861,0.5067072801156984,0.3371922290634153,0.002454043004180462,0.06779834701629985,143,146,152,148,161
Y2D_BW_BW,Y2D,BW,BW,BW,NA,Y2D_BW_AgeInDays,0.1188264873506023,3.9083558848036824e-4,0.00296212235479858,9.769859969648513e-4,0.087806616477216,0.05137262399580177,0.3356399822192784,0.6798131843254875,0.002848956437062091,0.9595157298140078,0.9925311324188524,0.13224911804654096,0.0809354744454808,0.2981612555996728,0.0622048708919893,0.3740049720808176,0.7044015562506604,0.43144199312096293,7.887807015162512e-5,0.009347051312967578,114,131,134,138,154
Y3A_BW_BW,Y3A,BW,BW,BW,NA,Y3A_BW_AgeInDays,0.13711987716044893,3.439401540868873e-5,3.2160637784747905e-4,0.0018299842397466951,0.13157586683778738,0.07789259326321608,0.15968953334954777,0.5089506893408625,0.04872496765564073,0.3429962982820165,0.7327051457961464,0.1708878413437817,0.012480093294203234,0.11523826405426622,0.03412457498900928,0.6427727949460235,0.861845170751597,0.4121908567886904,6.803702830589712e-5,0.009347051312967578,87,108,108,120,130
Y3B_BW_BW,Y3B,BW,BW,BW,NA,Y3B_BW_AgeInDays,0.07305609904856944,0.019374466280688563,0.07265424855258211,0.5643182820193042,0.9853220318120754,0.06144638384624601,0.25901702197793125,0.6089023106825466,0.06815321747403451,0.09576638231595405,0.41266604743420204,0.13256857590173501,0.04423300929640143,0.22147654654747476,2.1712911548189647e-4,0.9974538644251542,0.9988489047949796,0.15075532878297981,0.14888155439220271,0.5586617472820697,60,84,82,99,112
Y3C_BW_BW,Y3C,BW,BW,BW,NA,Y3C_BW_AgeInDays,0.061880321721946484,0.06512169531756244,0.18173496367691844,0.4949890379191537,0.9515965728980521,0.03703303381699,0.4868245529609939,0.8037212884290956,0.008129722793186127,0.8728420258874767,0.9925311324188524,0.12927309014312657,0.021766292205788,0.1508688390462644,-0.0229320599271707,0.7666533126267312,0.9170060169991355,0.12216766417645043,0.18140270476517759,0.5916390967341343,40,54,64,70,102
Y3D_BW_BW,Y3D,BW,BW,BW,NA,Y3D_BW_AgeInDays,0.050143827683452616,0.21146617966000675,0.41894991769864814,0.22021504499347597,0.8529889281115371,0.17831823681927647,0.2655639740539197,0.612839120242077,0.008452857293549143,0.8460091289662002,0.9925311324188524,-0.05520208283876921,0.32676717593696636,0.652623110172626,5.271774575354704e-4,0.9940000740880706,0.9988489047949796,0.18266205813216302,0.058239485044960106,0.3412603479003401,14,28,37,50,78
Y1B_BW_Delta,Y1B,BW,BW,Delta,NA,Y1B_BW_AgeInDays,0.07530355847708056,0.022428263663594714,0.08121084137368095,0.3917822916110556,0.9175617839359902,0.15238591549301883,0.006910039932975662,0.11009996959874555,0.15418900451721904,0.04587745950901327,0.29653521555371304,-0.01769995617640495,0.8223727424107913,0.9467244218045721,0.016562639728741023,0.8267290302173403,0.9377617403540558,0.07099132705639867,0.3796643598780789,0.779385728118062,188,188,190,189,182
Y1C_BW_Delta,Y1C,BW,BW,Delta,NA,Y1C_BW_AgeInDays,0.19930205145623914,2.055972977639121e-6,3.0210215181636067e-5,0.11786310341515131,0.7243040286794342,0.06207518378871702,0.38075818477105305,0.7184305749495922,0.22952138927632196,0.00703914204053058,0.10880065197428788,0.1466162633108318,0.13261674126689665,0.40283784888400687,0.19563006650898115,0.0373130764883253,0.2544396453870563,0.41494483920974357,8.506446966222895e-4,0.03520391575339312,186,183,185,187,180
Y1D_BW_Delta,Y1D,BW,BW,Delta,NA,Y1D_BW_AgeInDays,0.1577586485730353,7.593860912187736e-7,1.3018047278036119e-5,0.02088786759551238,0.4059020757073892,0.06295841579359865,0.2624651492359702,0.6105155730962787,0.09342233219034854,0.1317966628474164,0.47326983477026796,0.3643450629022882,5.8009218280692534e-8,2.0622277098786194e-5,0.17977025395745136,0.021100535026160026,0.19690561739948914,0.10388337872768319,0.24475001940217309,0.6611082267146355,182,173,179,183,176
Y2A_BW_Delta,Y2A,BW,BW,Delta,NA,Y2A_BW_AgeInDays,0.08986670258419453,0.010378645838501092,0.04344549420767899,0.7636212298077901,0.9924766770581845,0.05215740466294281,0.32135136493306055,0.6633494321313677,0.04822724541675954,0.5089858454546434,0.8482044942757303,0.10266543823219294,0.2436175921381615,0.5605569838518861,0.1766981394825051,0.04001575181412627,0.2652896138788371,0.08203167947303787,0.40854564316152253,0.7980108579336332,175,167,175,176,169
Y2B_BW_Delta,Y2B,BW,BW,Delta,NA,Y2B_BW_AgeInDays,0.12988986020286325,2.016140637775834e-6,3.0210215181636067e-5,6.567206136360167e-4,0.06745458874347086,0.1913068509964239,8.358015064977812e-5,0.005733660587488564,0.1805623762963129,0.002875095354367952,0.05379454728830562,0.24840609129371333,1.1135149926729076e-4,0.0065975763315869775,0.17511033440651133,0.003109895456424637,0.054309393824391226,-0.07453523724021902,0.2795840669443466,0.698915193621783,161,160,166,165,164
Y2C_BW_Delta,Y2C,BW,BW,Delta,NA,Y2C_BW_AgeInDays,0.15482869164907373,3.204071811943035e-9,7.954936912410293e-8,0.773033810612384,0.9924766770581845,0.15971404751810284,5.889220201157456e-5,0.005733660587488564,0.14181907657561577,0.00418831165898974,0.0709021330843263,0.21576043275935164,4.5086944736789355e-4,0.014712945244691134,0.16341829827056767,0.00830241498628474,0.10633835516167793,0.10259264519561168,0.1789260362612394,0.5916390967341343,143,146,152,148,161
Y2D_BW_Delta,Y2D,BW,BW,Delta,NA,Y2D_BW_AgeInDays,0.16860094598283007,2.0994319418348137e-10,6.870868173277572e-9,0.2857887853665061,0.8670001603734809,0.17368806358857466,1.2705087596473914e-4,0.006506819861908426,0.1673873434688073,6.464864171117324e-4,0.018386073702657667,0.17997742669706973,5.371386571671749e-4,0.015912732718577557,0.06734790764116981,0.27853708894648216,0.6207826521748463,0.24314947582226007,8.912383735036234e-4,0.03520391575339312,114,131,134,138,154
Y3A_BW_Delta,Y3A,BW,BW,Delta,NA,Y3A_BW_AgeInDays,0.09161395213217638,4.313989966883406e-4,0.0031060727761560523,0.21416874119425383,0.8529889281115371,0.09790303040261009,0.024420976672870773,0.19673977836458814,0.06373455452443569,0.11578387755313665,0.45414349517616714,0.10104186493443869,0.06148265858371115,0.2629236251932905,7.019252850355733e-4,0.9910928592383519,0.9988489047949796,0.18857408750823407,0.010613409854171746,0.14919488772025763,87,108,108,120,130
